"FeatureName","DateCode","Value","Energy.Type"
"North Lanarkshire",2019,1295.333,"Electricity"
"Renfrewshire",2019,1.857,"Manufactured Fuels"
"Orkney Islands",2019,342.808,"Petroleum Products"
"Renfrewshire",2019,1349.58,"Petroleum Products"
"Angus",2019,5.833,"Manufactured Fuels"
"East Ayrshire",2019,1122.027,"Petroleum Products"
"East Ayrshire",2019,39.095,"Coal"
"Angus",2019,517.332,"Electricity"
"East Lothian",2019,500.605,"Coal"
"Angus",2019,82.814,"Bioenergy & Wastes"
"Renfrewshire",2019,64.063,"Bioenergy & Wastes"
"East Lothian",2019,5.682,"Manufactured Fuels"
"Angus",2019,881.257,"Gas"
"Renfrewshire",2019,0.759,"Coal"
"Renfrewshire",2019,744.255,"Electricity"
"East Lothian",2019,950.16,"Petroleum Products"
"Renfrewshire",2019,1586.203,"Gas"
"Aberdeenshire",2019,1192.962,"Electricity"
"Falkirk",2019,76.48,"Bioenergy & Wastes"
"North Ayrshire",2019,1469.305,"Bioenergy & Wastes"
"Dumfries and Galloway",2019,1161.469,"Gas"
"Aberdeenshire",2019,23.724,"Manufactured Fuels"
"North Ayrshire",2019,3.816,"Manufactured Fuels"
"Highland",2019,54.898,"Coal"
"West Dunbartonshire",2019,338.113,"Electricity"
"Highland",2019,20.12,"Manufactured Fuels"
"Fife",2019,3273.248,"Gas"
"Clackmannanshire",2019,1114.969,"Gas"
"Glasgow City",2019,157.097,"Bioenergy & Wastes"
"East Dunbartonshire",2019,330.003,"Electricity"
"Falkirk",2019,13612.237,"Petroleum Products"
"Dumfries and Galloway",2019,30.937,"Coal"
"Aberdeen City",2019,10.628,"Manufactured Fuels"
"Falkirk",2019,1275.376,"Gas"
"Aberdeenshire",2019,209.69,"Bioenergy & Wastes"
"Dumfries and Galloway",2019,821.147,"Electricity"
"East Dunbartonshire",2019,2.219,"Manufactured Fuels"
"Scottish Borders",2019,7.584,"Manufactured Fuels"
"East Dunbartonshire",2019,28.892,"Bioenergy & Wastes"
"Aberdeen City",2019,18.034,"Coal"
"Falkirk",2019,574.462,"Manufactured Fuels"
"Dumfries and Galloway",2019,2972.436,"Petroleum Products"
"Scottish Borders",2019,786.436,"Gas"
"Highland",2019,3474.536,"Petroleum Products"
"West Dunbartonshire",2019,26.138,"Bioenergy & Wastes"
"North Lanarkshire",2019,22.069,"Manufactured Fuels"
"Scottish Borders",2019,544.497,"Electricity"
"Stirling",2019,5.019,"Manufactured Fuels"
"East Dunbartonshire",2019,1.67,"Coal"
"Highland",2019,1476.515,"Electricity"
"North Ayrshire",2019,662.166,"Electricity"
"Scottish Borders",2019,228.463,"Bioenergy & Wastes"
"Aberdeen City",2019,1584.183,"Petroleum Products"
"Aberdeen City",2019,1073.141,"Electricity"
"Stirling",2019,4.299,"Coal"
"Fife",2019,24.638,"Manufactured Fuels"
"Fife",2019,10.35,"Coal"
"West Dunbartonshire",2019,553.218,"Petroleum Products"
"Stirling",2019,1195.434,"Gas"
"Fife",2019,6533.589,"Petroleum Products"
