"","FeatureName","DateCode","Value","Energy.Type","Energy.Consuming.Sector"
"445","Shetland Islands",2016,15.89,"Bioenergy & Wastes","All"
"446","Scottish Borders",2016,3127.949,"All","All"
"447","Moray",2016,1848.991,"Gas","All"
"448","Moray",2016,495.535,"Electricity","All"
"449","East Renfrewshire",2019,769.989,"Gas","All"
"450","Orkney Islands",2019,4.988,"Coal","All"
"451","City of Edinburgh",2019,4602.524,"Gas","All"
"452","North Lanarkshire",2019,180.931,"Bioenergy & Wastes","All"
"453","East Ayrshire",2019,416.739,"Electricity","All"
"454","City of Edinburgh",2019,2268.726,"Electricity","All"
"455","Angus",2019,8.81,"Coal","All"
"456","Orkney Islands",2019,0,"Gas","All"
"457","Orkney Islands",2019,2.529,"Manufactured Fuels","All"
"458","North Lanarkshire",2019,3.368,"Coal","All"
"459","City of Edinburgh",2019,2909.64,"Petroleum Products","All"
"460","City of Edinburgh",2019,14.348,"Coal","All"
"461","Orkney Islands",2019,18.52,"Bioenergy & Wastes","All"
"462","East Ayrshire",2019,328.059,"Bioenergy & Wastes","All"
"463","City of Edinburgh",2019,185.108,"Bioenergy & Wastes","All"
"464","East Renfrewshire",2019,37.21,"Bioenergy & Wastes","All"
"465","City of Edinburgh",2019,4.274,"Manufactured Fuels","All"
"466","Scottish Borders",2019,1563.115,"Petroleum Products","All"
"467","East Dunbartonshire",2019,1786.335,"All","All"
"468","East Dunbartonshire",2019,915.26,"Gas","All"
"469","Highland",2019,1133.137,"Gas","All"
"470","West Dunbartonshire",2019,735.441,"Gas","All"
"471","Clackmannanshire",2019,19.398,"Bioenergy & Wastes","All"
"472","Highland",2019,1139.387,"Bioenergy & Wastes","All"
"473","Clackmannanshire",2019,2.728,"Manufactured Fuels","All"
"474","Aberdeen City",2019,2278.418,"Gas","All"
"475","East Dunbartonshire",2019,508.291,"Petroleum Products","All"
"476","East Renfrewshire",2019,0.779,"Coal","All"
"477","West Dunbartonshire",2019,1653.681,"All","All"
"478","East Renfrewshire",2019,620.316,"Petroleum Products","All"
"479","Aberdeen City",2019,136.058,"Bioenergy & Wastes","All"
"480","North Ayrshire",2019,2217.444,"Gas","All"
"481","Clackmannanshire",2019,1736.519,"All","All"
"482","Clackmannanshire",2019,298.765,"Electricity","All"
"483","East Lothian",2019,466.791,"Electricity","All"
"484","Orkney Islands",2019,140.287,"Electricity","All"
"485","East Lothian",2019,813.001,"Gas","All"
