"FeatureCode","City","FeatureType","Year","Measurement","Units","Age","Value"
"S12000033","Aberdeen City","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.375
"S12000034","Aberdeenshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",10.9
"S12000041","Angus","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.725
"S12000035","Argyll and Bute","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.4
"S12000036","City of Edinburgh","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",4.325
"S12000005","Clackmannanshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.1
"S12000006","Dumfries and Galloway","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",13.05
"S12000042","Dundee City","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",-4.95
"S12000008","East Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",9.05
"S12000045","East Dunbartonshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",7
"S12000010","East Lothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.5
"S12000011","East Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",10.7
"S12000014","Falkirk","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",11.325
"S12000047","Fife","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",11.9
"S12000049","Glasgow City","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",7.625
"S12000017","Highland","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",2.375
"S12000018","Inverclyde","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",2.05
"S12000019","Midlothian","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.775
"S12000020","Moray","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.1
"S12000013","Na h-Eileanan Siar","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.925
"S12000021","North Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",9.7
"S12000050","North Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.275
"S12000023","Orkney Islands","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",-0.0249999999999999
"S12000048","Perth and Kinross","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",5.125
"S12000038","Renfrewshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",0.9
"S12000026","Scottish Borders","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.625
"S12000027","Shetland Islands","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",-3.575
"S12000028","South Ayrshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.95
"S12000029","South Lanarkshire","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",8.025
"S12000030","Stirling","Council Area","2017","Percentage Points","Percentage Points Difference","16-64 years",6.1
