"","FeatureName","DateCode","Age","Value"
"426","Na h-Eileanan Siar",2016,"25-49 years",8.775
"427","North Ayrshire",2016,"25-49 years",8.325
"428","North Lanarkshire",2016,"25-49 years",5.975
"429","Orkney Islands",2016,"25-49 years",-5.925
"430","Perth and Kinross",2016,"25-49 years",2.725
"431","Renfrewshire",2016,"25-49 years",6
"432","Scottish Borders",2016,"25-49 years",13.75
"433","Shetland Islands",2016,"25-49 years",10.625
"434","South Ayrshire",2016,"25-49 years",9.225
"435","South Lanarkshire",2016,"25-49 years",11.5
"436","Stirling",2016,"25-49 years",2.325
"437","West Dunbartonshire",2016,"25-49 years",9.225
"438","West Lothian",2016,"25-49 years",7.7
"439","Aberdeen City",2017,"25-49 years",9.125
"440","Aberdeenshire",2017,"25-49 years",11.35
"441","Angus",2017,"25-49 years",12.325
"442","Argyll and Bute",2017,"25-49 years",11.075
"443","City of Edinburgh",2017,"25-49 years",11.65
"444","Clackmannanshire",2017,"25-49 years",8.625
"445","Dumfries and Galloway",2017,"25-49 years",12.075
"446","Dundee City",2017,"25-49 years",-2.2
"447","East Ayrshire",2017,"25-49 years",10.05
"448","East Dunbartonshire",2017,"25-49 years",9.975
"449","East Lothian",2017,"25-49 years",5.15
"450","East Renfrewshire",2017,"25-49 years",14.35
"451","Falkirk",2017,"25-49 years",12.2
"452","Fife",2017,"25-49 years",12.5
"453","Glasgow City",2017,"25-49 years",7.825
"454","Highland",2017,"25-49 years",5.675
"455","Inverclyde",2017,"25-49 years",10.225
"456","Midlothian",2017,"25-49 years",6.55
"457","Moray",2017,"25-49 years",7.025
"458","Na h-Eileanan Siar",2017,"25-49 years",3.675
"459","North Ayrshire",2017,"25-49 years",7.7
"460","North Lanarkshire",2017,"25-49 years",10.375
"461","Orkney Islands",2017,"25-49 years",-7.825
"462","Perth and Kinross",2017,"25-49 years",3.2
"463","Renfrewshire",2017,"25-49 years",2.575
"464","Scottish Borders",2017,"25-49 years",12.475
"465","Shetland Islands",2017,"25-49 years",-9.5
"466","South Ayrshire",2017,"25-49 years",13.4
"467","South Lanarkshire",2017,"25-49 years",9.225
"468","Stirling",2017,"25-49 years",6.625
"469","West Dunbartonshire",2017,"25-49 years",7.625
"470","West Lothian",2017,"25-49 years",11.525
"471","Aberdeen City",2018,"25-49 years",5.975
"472","Aberdeenshire",2018,"25-49 years",7.875
"473","Angus",2018,"25-49 years",11.9
"474","Argyll and Bute",2018,"25-49 years",10.625
"475","City of Edinburgh",2018,"25-49 years",14.45
"476","Clackmannanshire",2018,"25-49 years",12.25
"477","Dumfries and Galloway",2018,"25-49 years",8.8
"478","Dundee City",2018,"25-49 years",4
"479","East Ayrshire",2018,"25-49 years",7.925
"480","East Dunbartonshire",2018,"25-49 years",8.825
"481","East Lothian",2018,"25-49 years",6.675
"482","East Renfrewshire",2018,"25-49 years",7.5
"483","Falkirk",2018,"25-49 years",6.85
"484","Fife",2018,"25-49 years",11.075
"485","Glasgow City",2018,"25-49 years",11.175
"486","Highland",2018,"25-49 years",-6.625
"487","Inverclyde",2018,"25-49 years",10.2
"488","Midlothian",2018,"25-49 years",6
"489","Moray",2018,"25-49 years",11.775
"490","Na h-Eileanan Siar",2018,"25-49 years",7.025
"491","North Ayrshire",2018,"25-49 years",7.4
"492","North Lanarkshire",2018,"25-49 years",9.125
"493","Orkney Islands",2018,"25-49 years",-4.175
"494","Perth and Kinross",2018,"25-49 years",6.7
"495","Renfrewshire",2018,"25-49 years",7.2
"496","Scottish Borders",2018,"25-49 years",13.375
"497","Shetland Islands",2018,"25-49 years",0.0500000000000002
"498","South Ayrshire",2018,"25-49 years",5.375
"499","South Lanarkshire",2018,"25-49 years",3.35
"500","Stirling",2018,"25-49 years",5.475
"501","West Dunbartonshire",2018,"25-49 years",5.275
"502","West Lothian",2018,"25-49 years",16.175
"503","Aberdeen City",2019,"25-49 years",7.175
"504","Aberdeenshire",2019,"25-49 years",9.75
"505","Angus",2019,"25-49 years",5
"506","Argyll and Bute",2019,"25-49 years",1.8
"507","City of Edinburgh",2019,"25-49 years",12.075
"508","Clackmannanshire",2019,"25-49 years",6.475
"509","Dumfries and Galloway",2019,"25-49 years",7.075
"510","Dundee City",2019,"25-49 years",6.65
"511","East Ayrshire",2019,"25-49 years",9.925
"512","East Dunbartonshire",2019,"25-49 years",6.05
"513","East Lothian",2019,"25-49 years",15.15
"514","East Renfrewshire",2019,"25-49 years",9.4
"515","Falkirk",2019,"25-49 years",8.375
"516","Fife",2019,"25-49 years",8.525
"517","Glasgow City",2019,"25-49 years",5.525
"518","Highland",2019,"25-49 years",-8.5
"519","Inverclyde",2019,"25-49 years",6.8
"520","Midlothian",2019,"25-49 years",8.775
"521","Moray",2019,"25-49 years",22.525
"522","Na h-Eileanan Siar",2019,"25-49 years",3.425
"523","North Ayrshire",2019,"25-49 years",9.675
"524","North Lanarkshire",2019,"25-49 years",7.825
"525","Orkney Islands",2019,"25-49 years",7.175
"526","Perth and Kinross",2019,"25-49 years",6.85
"527","Renfrewshire",2019,"25-49 years",7.4
"528","Scottish Borders",2019,"25-49 years",8.9
"529","Shetland Islands",2019,"25-49 years",3
"530","South Ayrshire",2019,"25-49 years",2.6
"531","South Lanarkshire",2019,"25-49 years",6.8
"532","Stirling",2019,"25-49 years",0.2
"533","West Dunbartonshire",2019,"25-49 years",3.4
"534","West Lothian",2019,"25-49 years",8.8
"535","Aberdeen City",2020,"25-49 years",10.3
"536","Aberdeenshire",2020,"25-49 years",10.7
"537","Angus",2020,"25-49 years",3.5
"538","Argyll and Bute",2020,"25-49 years",3.4
"539","City of Edinburgh",2020,"25-49 years",11.5
"540","Clackmannanshire",2020,"25-49 years",-0.6
"541","Dumfries and Galloway",2020,"25-49 years",6.7
"542","Dundee City",2020,"25-49 years",6.3
"543","East Ayrshire",2020,"25-49 years",10.1
"544","East Dunbartonshire",2020,"25-49 years",10.6
"545","East Lothian",2020,"25-49 years",7.4
"546","East Renfrewshire",2020,"25-49 years",6.1
"547","Falkirk",2020,"25-49 years",3.2
"548","Fife",2020,"25-49 years",6.9
"549","Glasgow City",2020,"25-49 years",7.6
"550","Highland",2020,"25-49 years",3.2
"551","Inverclyde",2020,"25-49 years",7.2
"552","Midlothian",2020,"25-49 years",8.8
"553","Moray",2020,"25-49 years",18.7
"554","Na h-Eileanan Siar",2020,"25-49 years",4.5
"555","North Ayrshire",2020,"25-49 years",15
"556","North Lanarkshire",2020,"25-49 years",5.3
"557","Orkney Islands",2020,"25-49 years",-2.2
"558","Perth and Kinross",2020,"25-49 years",10.3
"559","Renfrewshire",2020,"25-49 years",7.2
